,precision,recall,f1-score,support
Not Potable,0.6341085271317829,0.9927184466019418,0.7738883632923368,412.0
Potable,0.7272727272727273,0.03278688524590164,0.06274509803921569,244.0
accuracy,0.635670731707317,0.635670731707317,0.635670731707317,0.635670731707317
macro avg,0.680690627202255,0.5127526659239217,0.41831673066577624,656.0
weighted avg,0.6687610649890853,0.635670731707317,0.5093777585335539,656.0
